iter	RMSE_SumError	RMSE_SumWeight
0	149.7905587	934
1	144.8977484	934
2	139.802582	934
3	135.1189878	934
4	130.3833763	934
5	125.5850719	934
6	121.6594517	934
7	117.6500294	934
8	113.8879567	934
9	110.0158375	934
10	106.2940825	934
11	102.9609921	934
12	99.50682952	934
13	96.12370738	934
14	93.05844899	934
15	89.99625692	934
16	87.1347514	934
17	84.5073767	934
18	82.03665724	934
19	79.43721461	934
20	77.08728576	934
21	74.94807431	934
22	72.84234003	934
23	70.91817163	934
24	69.05856209	934
25	67.23440638	934
26	65.36193257	934
27	63.56601465	934
28	61.76312932	934
29	60.06107656	934
30	58.57352639	934
31	57.04338335	934
32	55.63793518	934
33	54.3335216	934
34	53.15772404	934
35	51.90050337	934
36	50.64187291	934
37	49.5021806	934
38	48.32693415	934
39	47.27475636	934
40	46.20356333	934
41	45.2499926	934
42	44.31426735	934
43	43.36943945	934
44	42.45223891	934
45	41.57301582	934
46	40.87916032	934
47	40.1044684	934
48	39.35941732	934
49	38.55779442	934
50	37.85413208	934
51	37.11597114	934
52	36.4313275	934
53	35.77263656	934
54	35.19087175	934
55	34.56244819	934
56	33.93613483	934
57	33.31014398	934
58	32.76795654	934
59	32.22773818	934
60	31.75490651	934
61	31.23679384	934
62	30.74091319	934
63	30.22717804	934
64	29.75423251	934
65	29.35058445	934
66	28.9475984	934
67	28.5373695	934
68	28.11197837	934
69	27.62264309	934
70	27.20729711	934
71	26.8142709	934
72	26.42006416	934
73	26.08713628	934
74	25.75839864	934
75	25.43232723	934
76	25.09709053	934
77	24.77051832	934
78	24.52283913	934
79	24.21579626	934
80	23.93927516	934
81	23.67057384	934
82	23.39884452	934
83	23.10501184	934
84	22.82536869	934
85	22.5781263	934
86	22.3448626	934
87	22.10918662	934
88	21.86970715	934
89	21.60471533	934
90	21.38340741	934
91	21.16217232	934
92	20.95241161	934
93	20.71697843	934
94	20.54657059	934
95	20.32408146	934
96	20.11623797	934
97	19.93919607	934
98	19.68730123	934
99	19.4989791	934
100	19.33043086	934
101	19.12408647	934
102	18.96076097	934
103	18.77764219	934
104	18.62931327	934
105	18.47799495	934
106	18.35216946	934
107	18.21431148	934
108	18.0536624	934
109	17.9012678	934
110	17.77494364	934
111	17.64356998	934
112	17.48164076	934
113	17.33574703	934
114	17.20079518	934
115	17.07145834	934
116	16.95320293	934
117	16.83198825	934
118	16.69151813	934
119	16.57736641	934
120	16.47640086	934
121	16.32359439	934
122	16.22568087	934
123	16.12952545	934
124	15.99875154	934
125	15.85414793	934
126	15.7327112	934
127	15.5981703	934
128	15.49101976	934
129	15.36480459	934
130	15.27951889	934
131	15.16141349	934
132	15.06331804	934
133	14.94744807	934
134	14.8452298	934
135	14.75619865	934
136	14.66664646	934
137	14.58573463	934
138	14.49994498	934
139	14.42067217	934
140	14.33364637	934
141	14.24386036	934
142	14.14754678	934
143	14.05946032	934
144	13.95797986	934
145	13.89903023	934
146	13.80550537	934
147	13.73528591	934
148	13.65303729	934
149	13.56998252	934
150	13.49715069	934
151	13.42794134	934
152	13.3411134	934
153	13.24209956	934
154	13.15951114	934
155	13.11672527	934
156	13.03964925	934
157	12.96461243	934
158	12.87816786	934
159	12.82923904	934
160	12.76751018	934
161	12.6910918	934
162	12.63789027	934
163	12.59851447	934
164	12.53138758	934
165	12.48335507	934
166	12.42060319	934
167	12.38130814	934
168	12.31796519	934
169	12.23933253	934
170	12.16625223	934
171	12.12024038	934
172	12.06743345	934
173	11.99840388	934
174	11.95247779	934
175	11.89785581	934
176	11.81472268	934
177	11.7584693	934
178	11.71615487	934
179	11.67317256	934
180	11.6249998	934
181	11.58444572	934
182	11.53305625	934
183	11.46463828	934
184	11.42451431	934
185	11.38840339	934
186	11.34556179	934
187	11.29654635	934
188	11.24391664	934
189	11.21000071	934
190	11.17038584	934
191	11.13350004	934
192	11.0901828	934
193	11.04000138	934
194	11.00099331	934
195	10.95975808	934
196	10.90808167	934
197	10.87398232	934
198	10.79785837	934
199	10.76717427	934
200	10.73300918	934
201	10.68626614	934
202	10.6424446	934
203	10.59688515	934
204	10.55116066	934
205	10.50922231	934
206	10.46826301	934
207	10.43642448	934
208	10.3962036	934
209	10.35793161	934
210	10.32815021	934
211	10.30274581	934
212	10.26650012	934
213	10.23122866	934
214	10.20463168	934
215	10.17716076	934
216	10.14748036	934
217	10.13002357	934
218	10.09625404	934
219	10.07814291	934
220	10.05856802	934
221	10.02421425	934
222	10.01831219	934
223	9.985780428	934
224	9.94843062	934
225	9.91664004	934
226	9.889302021	934
227	9.855661915	934
228	9.821043527	934
229	9.785022808	934
230	9.732815067	934
231	9.698917947	934
232	9.660605869	934
233	9.622835442	934
234	9.592684707	934
235	9.566286214	934
236	9.539575904	934
237	9.525735601	934
238	9.49524434	934
239	9.46457801	934
240	9.433859468	934
241	9.402154831	934
242	9.352446537	934
243	9.306956681	934
244	9.274764392	934
245	9.234848722	934
246	9.22049097	934
247	9.191230174	934
248	9.157028294	934
249	9.137981089	934
250	9.122033985	934
251	9.10362493	934
252	9.073254876	934
253	9.046597179	934
254	9.018652949	934
255	8.988397181	934
256	8.976734873	934
257	8.950586609	934
